c_d,ce_cs,ce_sg,f_q,f_sg,c_q,ca_sg,w,w/c,p_q,p_ts,p_sg,slump,c_sg,Predicted_c_cs
456.0,35.0,3.13,639.7,2.55,758.5,2.43,205.0,0.45,60.7,60,0.85,5,2.2,25.940905
446.0,42.5,3.12,585.0,2.42,961.0,2.62,252.0,0.56,0.0,52,1.32,8,2.32,30.667658
446.0,42.5,3.12,555.7,2.42,961.0,2.62,252.0,0.56,17.8,52,1.32,7,2.307,26.543213
446.0,42.5,3.12,526.5,2.42,961.0,2.62,252.0,0.56,35.5,52,1.32,7,2.856,21.074554
446.0,42.5,3.12,497.2,2.42,961.0,2.62,252.0,0.56,53.2,52,1.32,6,2.693,16.557768
446.0,42.5,3.12,468.0,2.42,961.0,2.62,252.0,0.56,71.0,52,1.32,6,2.495,12.014225
383.0,45.8,3.14,971.0,2.58,896.0,2.55,230.0,0.6,0.0,40,0.98,2,2.25,40.113705
383.0,45.8,3.14,929.0,2.58,679.0,2.55,230.0,0.6,179.0,40,0.98,3,2.2,30.672667
383.0,45.8,3.14,903.0,2.58,486.0,2.55,230.0,0.6,347.0,40,0.98,4,2.0,21.424734
383.0,45.8,3.14,882.0,2.58,305.0,2.55,230.0,0.6,509.0,40,0.98,12,1.85,9.09444
340.0,39.2,2.9,539.3,2.37,1251.2,2.58,153.0,0.45,0.0,37,0.85,7,2.35,24.5744
340.0,39.2,2.9,539.3,2.37,1126.0,2.58,153.0,0.45,40.5,37,0.85,8,2.3,27.96141
340.0,39.2,2.9,539.3,2.37,1000.9,2.58,153.0,0.45,81.0,37,0.85,9,2.25,22.082644
340.0,39.2,2.9,539.3,2.37,875.8,2.58,153.0,0.45,121.6,37,0.85,9,2.2,19.487371
340.0,39.2,2.9,513.8,2.37,1192.0,2.58,187.0,0.55,0.0,37,0.85,12,2.35,17.201517
340.0,39.2,2.9,513.8,2.37,1072.8,2.58,187.0,0.55,38.6,37,0.85,13,2.3,24.158045
340.0,39.2,2.9,513.8,2.37,953.6,2.58,187.0,0.55,77.2,37,0.85,15,2.2,18.319298
340.0,39.2,2.9,513.8,2.37,834.0,2.58,187.0,0.55,115.8,37,0.85,16,2.19,16.878313
340.0,39.2,2.9,539.3,2.37,1102.6,2.3,153.0,0.45,0.0,37,0.85,4,2.18,23.830162
340.0,39.2,2.9,539.3,2.37,992.6,2.3,153.0,0.45,40.5,37,0.85,5,2.15,25.364437
340.0,39.2,2.9,539.3,2.37,882.3,2.3,153.0,0.45,81.0,37,0.85,6,2.0,18.486256
340.0,39.2,2.9,539.3,2.37,771.8,2.3,153.0,0.45,121.6,37,0.85,7,1.8,16.673487
340.0,39.2,2.9,513.8,2.37,1050.4,2.3,187.0,0.55,0.0,37,0.85,8,2.1,20.13109
340.0,39.2,2.9,513.8,2.37,945.4,2.3,187.0,0.55,38.6,37,0.85,9,2.05,20.25053
340.0,39.2,2.9,513.8,2.37,840.3,2.3,187.0,0.55,77.2,37,0.85,10,1.9,16.944721
340.0,39.2,2.9,513.8,2.37,735.3,2.3,187.0,0.55,115.8,37,0.85,11,18.0,16.170002
315.0,44.0,3.11,630.0,2.45,1260.0,2.55,173.3,0.55,0.0,150,1.23,3,2.35,27.83449
315.0,44.0,3.11,567.0,2.45,1260.0,2.55,173.3,0.55,63.0,150,1.23,5,2.3,23.682802
315.0,44.0,3.11,504.0,2.45,1260.0,2.55,173.3,0.55,126.0,150,1.23,6,2.2,22.021631
315.0,44.0,3.11,441.0,2.45,1260.0,2.55,173.3,0.55,189.0,150,1.23,10,2.2,21.932613
315.0,44.0,3.11,378.0,2.45,1260.0,2.55,173.3,0.55,252.0,150,1.23,11,2.18,20.67143
315.0,44.0,3.11,0.0,2.45,1260.0,2.55,173.3,0.55,630.0,150,1.23,4,2.15,16.735548
362.0,53.0,3.15,682.6,3.22,1184.4,2.6,162.9,0.45,0.0,40,1.38,12,2.5,38.574417
362.0,53.0,3.15,648.5,3.22,1184.4,2.6,162.9,0.45,34.1,40,1.38,11,2.32,38.712326
362.0,53.0,3.15,614.3,3.22,1184.4,2.6,162.9,0.45,68.3,40,1.38,7,2.36,35.023968
362.0,53.0,3.15,580.2,3.22,1184.4,2.6,162.9,0.45,102.4,40,1.38,2,2.3,24.261623
362.0,53.0,3.15,546.1,3.22,1184.4,2.6,162.9,0.45,136.5,40,1.38,0,2.26,20.182182
362.0,53.0,3.15,512.0,3.22,1184.4,2.6,162.9,0.45,170.7,40,1.38,0,2.22,16.755953
362.0,53.0,3.15,682.6,3.22,1184.4,2.6,162.9,0.45,0.0,37,0.91,12,2.5,36.54556
362.0,53.0,3.15,648.5,3.22,1184.4,2.6,162.9,0.45,34.1,37,0.91,11,2.32,35.019913
362.0,53.0,3.15,614.3,3.22,1184.4,2.6,162.9,0.45,68.3,37,0.91,7,2.36,29.580803
362.0,53.0,3.15,580.2,3.22,1184.4,2.6,162.9,0.45,102.4,37,0.91,2,2.3,21.514353
362.0,53.0,3.15,546.1,3.22,1184.4,2.6,162.9,0.45,136.5,37,0.91,0,2.26,17.434912
362.0,53.0,3.15,512.0,3.22,1184.4,2.6,162.9,0.45,170.7,37,0.91,0,2.22,14.617456
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,0.0,800,0.93,10,2.321,38.431156
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,4.5,800,0.93,9,2.294,35.285145
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,9.2,800,0.93,9,2.268,33.798
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,14.0,800,0.93,8,2.25,31.801992
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,18.5,800,0.93,8,2.236,30.074415
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,0.0,800,0.93,10,2.321,38.431156
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,4.5,800,0.93,9,2.294,35.285145
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,9.2,800,0.93,9,2.268,33.798
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,14.0,800,0.93,8,2.25,31.801992
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,18.5,800,0.93,8,2.236,30.074415
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,0.0,800,0.93,10,2.321,38.431156
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,4.5,800,0.93,85,2.294,34.9117
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,9.2,800,0.93,82,2.268,32.911003
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,14.0,800,0.93,80,2.25,31.19007
438.0,53.0,3.15,638.0,2.63,1115.0,2.71,197.0,0.45,18.5,800,0.93,75,2.236,28.650354
444.75,50.2,3.15,667.0,2.56,1334.0,2.53,191.3,0.43,0.0,40,1.38,16,2.36,36.482964
444.75,50.2,3.15,633.7,2.56,1334.0,2.53,191.3,0.43,33.4,40,1.38,14,2.35,46.13744
444.75,50.2,3.15,617.0,2.56,1334.0,2.53,191.3,0.43,50.0,40,1.38,13,2.3,47.80868
